gemeente;soort;jaar;verkiezing;"verkiezing-
partij";p;partij;w;sb;stemmen;opmerking
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;3;28;55;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;3;28;15;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;3;28;139;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;3;28;14;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;29;168;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;29;92;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;29;113;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;29;77;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;29;86;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;29;58;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;29;29;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;29;119;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;29;18;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;30;146;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;30;95;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;30;87;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;30;72;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;30;77;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;30;184;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;30;21;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;30;61;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;30;13;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;31;145;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;31;370;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;31;77;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;31;37;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;31;129;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;31;150;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;31;20;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;31;59;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;31;30;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;32;171;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;32;121;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;32;140;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;32;68;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;32;151;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;32;89;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;32;25;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;32;47;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;32;26;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;33;181;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;33;215;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;33;106;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;33;57;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;33;131;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;33;145;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;33;20;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;33;57;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;33;42;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;34;147;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;34;214;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;34;171;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;34;42;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;34;211;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;34;145;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;34;48;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;34;29;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;34;53;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;35;182;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;35;146;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;35;118;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;35;43;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;35;155;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;35;125;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;35;20;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;35;43;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;35;31;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;36;166;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;36;154;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;36;137;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;36;74;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;36;156;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;36;142;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;36;18;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;36;66;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;36;32;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;37;128;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;37;126;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;37;72;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;37;55;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;37;56;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;37;123;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;37;24;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;37;83;
